hanzi_sc,hanzi_trad,pinyin,pinyin_style2,level,level_zh,cc_cedict_definitions
的,的,de,de,1,初等|一级,(bound form) bull's-eye; target
了,了瞭,le,le,1,初等|一级,unofficial variant of 瞭[liao4]
在,在,zài,zai4,1,初等|一级,to exist; to be alive/(of sb or sth) to be (located) at/(used before a verb to indicate an action in progress)
是,是,shì,shi4,1,初等|一级,variant of 是[shi4]
我,我,wǒ,wo3,1,初等|一级,I; me; my
一,一,yī,yi1,1,初等|一级,"one/single/a (article)/as soon as/entire; whole; all; throughout/""one"" radical in Chinese characters (Kangxi radical 1)/also pr. [yao1] for greater clarity when spelling out numbers digit by digit"
有,有,yǒu,you3,1,初等|一级,to have; there is/(bound form) having; with; -ful; -ed; -al (as in 有意[you3 yi4] intentional)
他,他,tā,ta1,1,初等|一级,he; him (used for either sex when the sex is unknown or unimportant)/(used before sb's name for emphasis)/(used as a meaningless mock object)/(literary) other
这,這,zhè,zhe4,1,初等|一级,"(pronoun) this; these/(bound form) this; the (followed by a noun)/(bound form) this; these (followed by a classifier) (in this sense, commonly pr. [zhei4], esp. in Beijing)"
个,個,gè,ge4,1,初等|一级,variant of 個|个[ge4]
和,和,hé,he2,1,初等|一级,old variant of 和[he2]/harmonious
不,不,bù,bu4,1,初等|一级,no; not so/(bound form) not; un-
就,就,jiù,jiu4,1,初等|一级,(after a suppositional clause) in that case; then/(after a clause of action) as soon as; immediately after/(same as 就是[jiu4 shi4]) merely; nothing else but; simply; just; precisely; exactly/only; as little as/as much as; as many as/to approach; to move towards/to undertake; to engage in/(often followed by 著|着[zhe5]) taking advantage of/(of food) to go with/with regard to; concerning/(pattern: 就[jiu4] ... 也[ye3] ...) even if ... still .../(pattern: 不[bu4] ... 就[jiu4] ...) if not ... then must be ...
也,也,yě,ye3,1,初等|一级,(adverb) also; both ... and ... (before predicates only)/(literary) particle having functions similar to 啊[a5]
人,人,rén,ren2,1,初等|一级,"person; people/CL:個|个[ge4],位[wei4]"
你,你,nǐ,ni3,1,初等|一级,"you (Note: In Taiwan, 妳 is used to address females, but in mainland China, it is not commonly used. Instead, 你 is used to address both males and females.)"
说,說,shuō,shuo1,1,初等|一级,variant of 說|说[shuo1]
们,們,men,men,1,初等|一级,"plural marker for pronouns, and nouns referring to individuals"
上,上,shàng,shang4,1,初等|一级,(bound form) up; upper; above; previous/first (of multiple parts)/to climb; to get onto; to go up/to attend (class or university)/(directional complement) up/(noun suffix) on; above
都,都,dōu,dou1,1,初等|一级,capital city/metropolis
对,對,duì,dui4,1,初等|一级,right; correct/towards; at; for/concerning; regarding/to treat (sb a certain way)/to face/(bound form) opposite; facing; matching/to match together; to adjust/to fit; to suit/to answer; to reply/to add; to pour in (a fluid)/to check; to compare/classifier: couple; pair
要,要,yào,yao4,1,初等|一级,to want; to need; to ask for/will; shall; about to/need to; should/if (same as 要是[yao4 shi5])/(bound form) important
点,點,diǎn,dian3,1,初等|一级,point/dot/drop/speck/o'clock/point (in space or time)/to draw a dot/to check on a list/to choose/to order (food in a restaurant)/to touch briefly/to hint/to light/to ignite/to pour a liquid drop by drop/(old) one fifth of a two-hour watch 更[geng1]/dot stroke in Chinese characters/classifier for items
到,到,dào,dao4,1,初等|一级,to reach; to arrive/to leave for; to go to/to (a place); until (a time); up to (a point)/(verb complement indicating arriving at a place or reaching a point)/considerate; thoughtful; thorough
多,多,duō,duo1,1,初等|一级,many; much/too many; in excess/(after a numeral) ... odd/how (to what extent) (Taiwan pr. [duo2])/(bound form) multi-; poly-
会,會,huì,hui4,1,初等|一级,to balance an account/accounting/accountant
着,著,zhe,zhe,1,初等|一级,to wear (clothes)/to contact/to use/to apply
来,來,lái,lai2,1,初等|一级,"to come/(used as a substitute for a more specific verb)/hither (directional complement for motion toward the speaker, as in 回來|回来[hui2 lai5])/ever since (as in 自古以來|自古以来[zi4 gu3 yi3 lai2])/for the past (amount of time)/(prefix) the coming ...; the next ... (as in 來世|来世[lai2 shi4])/(between two verbs) in order to/(after a round number) approximately/(used after 得[de2] to indicate possibility, as in 談得來|谈得来[tan2 de5 lai2], or after 不[bu4] to indicate impossibility, as in 吃不來|吃不来[chi1 bu5 lai2])"
她,她,tā,ta1,1,初等|一级,she
还,還,hái,hai2,1,初等|一级,to pay back/to return
没,沒,méi,mei2,1,初等|一级,drowned/to end/to die/to inundate
很,很,hěn,hen3,1,初等|一级,(adverb of degree)/quite/very/awfully
好,好,hǎo,hao3,1,初等|一级,to be fond of; to have a tendency to; to be prone to
中,中,zhōng,zhong1,1,初等|一级,"to hit (the mark)/to be hit by/to suffer/to win (a prize, a lottery)"
年,秊年,nián,nian2,1,初等|一级,grain/harvest (old)/variant of 年[nian2]
大,大,dà,da4,1,初等|一级,see 大夫[dai4 fu5]
给,給,gěi,gei3,1,初等|一级,to supply/to provide
从,從,cóng,cong2,1,初等|一级,from; through; via/(bound form) to follow/(bound form) to obey/(bound form) to engage in (an activity)/(used before a negative) ever/(bound form) (Taiwan pr. [zong4]) retainer; attendant/(bound form) (Taiwan pr. [zong4]) assistant; auxiliary; subordinate/(bound form) (Taiwan pr. [zong4]) related by common paternal grandfather or earlier ancestor
看,看,kàn,kan4,1,初等|一级,to see; to look at/to read/to watch/to visit; to call on/to consider; to regard as/to look after/to treat (a patient or illness)/to depend on/to feel (that)/(after a verb) to give it a try/to watch out for
去,去,qù,qu4,1,初等|一级,to go/to go to (a place)/(of a time etc) last/just passed/to send/to remove/to get rid of/to reduce/to be apart from in space or time/to die (euphemism)/to play (a part)/(when used either before or after a verb) to go in order to do sth/(after a verb of motion indicates movement away from the speaker)/(used after certain verbs to indicate detachment or separation)
能,能,néng,neng2,1,初等|一级,can/to be able to/might possibly/ability/(physics) energy
两,兩,liǎng,liang3,1,初等|一级,"two/both/some/a few/tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤[jin1] (old)"
下,下,xià,xia4,1,初等|一级,"down/downwards/below/lower/later/next (week etc)/second (of two parts)/to decline/to go down/to arrive at (a decision, conclusion etc)/measure word to show the frequency of an action"
做,做,zuò,zuo4,1,初等|一级,"to make; to produce/to write; to compose/to do; to engage in; to hold (a party etc)/(of a person) to be (an intermediary, a good student etc); to become (husband and wife, friends etc)/(of a thing) to serve as; to be used for/to assume (an air or manner)"
等,等,děng,deng3,1,初等|一级,to wait for; to await/by the time; when; till/and so on; etc.; et al./(bound form) class; rank; grade/(bound form) equal to; same as/(used to end an enumeration)/(literary) (plural suffix attached to a personal pronoun or noun)
三,三,sān,san1,1,初等|一级,three/3
里,里裡,lǐ,li3,1,初等|一级,"li, ancient measure of length, approx. 500 m/neighborhood/ancient administrative unit of 25 families/(Tw) borough, administrative unit between the township 鎮|镇[zhen4] and neighborhood 鄰|邻[lin2] levels"
过,過,guò,guo4,1,初等|一级,(experienced action marker)
那,那,nà,na4,1,初等|一级,(archaic) many/beautiful/how/old variant of 挪[nuo2]
后,後后,hòu,hou4,1,初等|一级,back/behind/rear/afterwards/after/later/post-
想,想,xiǎng,xiang3,1,初等|一级,to think (about)/to think of; to devise/to think (that); to believe (that)/to desire; to want (to)/to miss (feel wistful about the absence of)
地,地,dì,di4,1,初等|一级,earth/ground/field/place/land/CL:片[pian4]
用,用,yòng,yong4,1,初等|一级,to use/to employ/to have to/to eat or drink/expense or outlay/usefulness/hence/therefore
出,出,chū,chu1,1,初等|一级,variant of 出[chu1] (classifier for plays or chapters of classical novels)
现,現,xiàn,xian4,1,初等|一级,to appear/present/now/existing/current
次,次,cì,ci4,1,初等|一级,"next in sequence/second/the second (day, time etc)/secondary/vice-/sub-/infra-/inferior quality/substandard/order/sequence/hypo- (chemistry)/classifier for enumerated events: time"
最,最,zuì,zui4,1,初等|一级,most/the most/-est (superlative suffix)
什,什,shén,shen2,1,初等|一级,"ten (used in fractions, writing checks etc)/assorted/miscellaneous"
么,麼,me,me,1,初等|一级,variant of 麼|么[me5]
小,小,xiǎo,xiao3,1,初等|一级,small/tiny/few/young
月,月,yuè,yue4,1,初等|一级,"moon/month/monthly/CL:個|个[ge4],輪|轮[lun2]"
天,天,tiān,tian1,1,初等|一级,day/sky/heaven
工,工,gōng,gong1,1,初等|一级,work/worker/skill/profession/trade/craft/labor
作,作,zuò,zuo4,1,初等|一级,"to do; to engage in/to write; to compose/to pretend; to feign/to regard as; to consider to be/to be; to act the part of/to feel (itchy, nauseous etc)/writings; works"
家,家,jiā,jia1,1,初等|一级,"home/family/(polite) my (sister, uncle etc)/classifier for families or businesses/refers to the philosophical schools of pre-Han China/noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian/CL:個|个[ge4]"
再,再,zài,zai4,1,初等|一级,"again; once more; re-/second; another/then (after sth, and not until then)/no matter how ... (followed by an adjective or verb, and then (usually) 也[ye3] or 都[dou1] for emphasis)"
时,時,shí,shi2,1,初等|一级,o'clock/time/when/hour/season/period
间,間,jiān,jian1,1,初等|一级,gap/to separate/to thin out (seedlings)/to sow discontent
前,前,qián,qian2,1,初等|一级,front/forward/ahead/first/top (followed by a number)/future/ago/before/BC (e.g. 前293年)/former/formerly
新,新,xīn,xin1,1,初等|一级,new/newly/meso- (chemistry)
候,候,hòu,hou4,1,初等|一级,to wait/to inquire after/to watch/season/climate/(old) period of five days
些,些,xiē,xie1,1,初等|一级,"classifier indicating a small amount or small number greater than 1: some, a few, several"
比,比,bǐ,bi3,1,初等|一级,to compare/(followed by a noun and adjective) more {adj.} than {noun}/ratio/to gesture/(Taiwan pr. [bi4] in some compounds derived from Classical Chinese)
走,走,zǒu,zou3,1,初等|一级,"to walk/to go/to run/to move (of vehicle)/to visit/to leave/to go away/to die (euph.)/from/through/away (in compound verbs, such as 撤走[che4 zou3])/to change (shape, form, meaning)"
太,太,tài,tai4,1,初等|一级,highest/greatest/too (much)/very/extremely
找,找,zhǎo,zhao3,1,初等|一级,to try to find/to look for/to call on sb/to find/to seek/to return/to give change
四,四,sì,si4,1,初等|一级,four/4
几,幾几,jǐ,ji3,1,初等|一级,how much/how many/several/a few
本,本,běn,ben3,1,初等|一级,"root/stem/origin/source/this/the current/original/inherent/originally/classifier for books, periodicals, files etc"
打,打,dǎ,da3,1,初等|一级,to beat/to strike/to hit/to break/to type/to mix up/to build/to fight/to fetch/to make/to tie up/to issue/to shoot/to calculate/to play (a game)/since/from
呢,呢,ne,ne,1,初等|一级,woolen material
事,事,shì,shi4,1,初等|一级,"matter/thing/item/work/affair/CL:件[jian4],樁|桩[zhuang1],回[hui2]"
起,起,qǐ,qi3,1,初等|一级,"to rise/to raise/to get up/to set out/to start/to appear/to launch/to initiate (action)/to draft/to establish/to get (from a depot or counter)/verb suffix, to start/starting from (a time, place, price etc)/classifier for occurrences or unpredictable events: case, instance/classifier for groups: batch, group"
车,車,chē,che1,1,初等|一级,war chariot (archaic)/rook (in Chinese chess)/rook (in chess)
非,非,fēi,fei1,1,初等|一级,to not be; not/wrong; incorrect/non-; un-; in-; de-/to reproach; to blame/(coll.) to insist on; simply must
常,常,cháng,chang2,1,初等|一级,always/ever/often/frequently/common/general/constant
知,知,zhī,zhi1,1,初等|一级,to know/to be aware
道,道,dào,dao4,1,初等|一级,"road/path/CL:條|条[tiao2],股[gu3]/principle/truth/morality/reason/skill/method/Dao (of Daoism)/to say/to speak/to talk/classifier for long thin things (rivers, cracks etc), barriers (walls, doors etc), questions (in an exam etc), commands, courses in a meal, steps in a process/(old) circuit (administrative division)"
手,手,shǒu,shou3,1,初等|一级,"hand/(formal) to hold/person engaged in certain types of work/person skilled in certain types of work/personal(ly)/convenient/classifier for skill/CL:雙|双[shuang1],隻|只[zhi1]"
今,今,jīn,jin1,1,初等|一级,"now/the present time/current/contemporary/this (day, year etc)"
五,五,wǔ,wu3,1,初等|一级,five/5
二,二,èr,er4,1,初等|一级,two/2/(Beijing dialect) stupid
吗,嗎,ma,ma,1,初等|一级,"(question particle for ""yes-no"" questions)"
真,真,zhēn,zhen1,1,初等|一级,really/truly/indeed/real/true/genuine
跟,跟,gēn,gen1,1,初等|一级,heel/to follow closely/to go with/(of a woman) to marry sb/with/compared with/to/towards/and (joining two nouns)
孩,孩,hái,hai2,1,初等|一级,(bound form) child
子,子,zi,zi,1,初等|一级,(noun suffix)
高,高,gāo,gao1,1,初等|一级,high/tall/above average/loud/your (honorific)
日,日,rì,ri4,1,初等|一级,"sun/day/date, day of the month"
觉,覺,jué,jue2,1,初等|一级,to feel/to find that/thinking/awake/aware
得,得,dé,de2,1,初等|一级,to have to/must/ought to/to need to
吧,吧,ba,ba,1,初等|一级,(onom.) smack!
话,話,huà,hua4,1,初等|一级,old variant of 話|话[hua4]
钱,錢,qián,qian2,1,初等|一级,"coin/money/CL:筆|笔[bi3]/unit of weight, one tenth of a tael 兩|两[liang3]"
开,開,kāi,kai1,1,初等|一级,"to open (transitive or intransitive)/(of ships, vehicles, troops etc) to start/to turn on; to put in operation; to operate; to run/to boil/to write out (a prescription, check, invoice etc)/(directional complement) away; off/carat (gold)/abbr. for Kelvin, 開爾文|开尔文[Kai1 er3 wen2]/abbr. for 開本|开本[kai1 ben3], book format"
岁,歲,suì,sui4,1,初等|一级,classifier for years (of age)/year/year (of crop harvests)
吃,吃,chī,chi1,1,初等|一级,variant of 吃[chi1]
身,身,shēn,shen1,1,初等|一级,"body/life/oneself/personally/one's morality and conduct/the main part of a structure or body/pregnant/classifier for sets of clothes: suit, twinset/Kangxi radical 158"
重,重,zhòng,zhong4,1,初等|一级,heavy/serious/to attach importance to
爱,愛,ài,ai4,1,初等|一级,to love; to be fond of; to like/affection/to be inclined (to do sth); to tend to (happen)
国,國,guó,guo2,1,初等|一级,country; nation; state (CL:個|个[ge4])/(bound form) national
买,買,mǎi,mai3,1,初等|一级,to buy/to purchase
号,號,hào,hao4,1,初等|一级,ordinal number/day of a month/mark/sign/business establishment/size/ship suffix/horn (wind instrument)/bugle call/assumed name/to take a pulse/classifier used to indicate number of people
喜,喜,xǐ,xi3,1,初等|一级,to be fond of/to like/to enjoy/to be happy/to feel pleased/happiness/delight/glad
欢,驩讙歡,huān,huan1,1,初等|一级,a breed of horse/variant of 歡|欢[huan1]
怎,怎,zěn,zen3,1,初等|一级,how
分,分,fēn,fen1,1,初等|一级,part/share/ingredient/component
谁,誰,shuí,shui2,1,初等|一级,who/also pr. [shui2]
告,告,gào,gao4,1,初等|一级,to say/to tell/to announce/to report/to denounce/to file a lawsuit/to sue
诉,訴,sù,su4,1,初等|一级,to complain/to sue/to tell
样,樣,yàng,yang4,1,初等|一级,"manner/pattern/way/appearance/shape/classifier: kind, type"
方,方,fāng,fang1,1,初等|一级,"square/power or involution (math.)/upright/honest/fair and square/direction/side/party (to a contract, dispute etc)/place/method/prescription (medicine)/just when/only or just/classifier for square things/abbr. for square or cubic meter"
十,十,shí,shi2,1,初等|一级,ten/10
见,見,jiàn,jian4,1,初等|一级,to appear/also written 現|现[xian4]
六,六,liù,liu4,1,初等|一级,six/6
问,問,wèn,wen4,1,初等|一级,to ask; to inquire
叫,叫,jiào,jiao4,1,初等|一级,variant of 叫[jiao4]
回,回迴,huí,hui2,1,初等|一级,variant of 迴|回[hui2]
正,正,zhèng,zheng4,1,初等|一级,straight/upright/proper/main/principal/to correct/to rectify/exactly/just (at that time)/right (in that place)/(math.) positive
快,快,kuài,kuai4,1,初等|一级,rapid/quick/speed/rate/soon/almost/to make haste/clever/sharp (of knives or wits)/forthright/plainspoken/gratified/pleased/pleasant
住,住,zhù,zhu4,1,初等|一级,"to live/to dwell/to stay/to reside/to stop/(suffix indicating firmness, steadiness, or coming to a halt)"
请,請,qǐng,qing3,1,初等|一级,to ask/to invite/please (do sth)/to treat (to a meal etc)/to request
水,水,shuǐ,shui3,1,初等|一级,water/river/liquid/beverage/additional charges or income/(of clothes) classifier for number of washes
东,東,dōng,dong1,1,初等|一级,east/host (i.e. sitting on east side of guest)/landlord
西,西,xī,xi1,1,初等|一级,west
听,聽听,tīng,ting1,1,初等|一级,"to listen to; to hear/to heed; to obey/a can (loanword from English ""tin"")/classifier for canned beverages/to let be; to allow (Taiwan pr. [ting4])/(literary) to administer; to deal with (Taiwan pr. [ting4])"
老,老,lǎo,lao3,1,初等|一级,prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity/old (of people)/venerable (person)/experienced/of long standing/always/all the time/of the past/very/outdated/(of meat etc) tough
机,機,jī,ji1,1,初等|一级,(bound form) machine; mechanism/(bound form) aircraft/(bound form) an opportunity/(bound form) crucial point; pivot/(bound form) quick-witted; flexible/(bound form) organic
电,電,diàn,dian4,1,初等|一级,lightning/electricity/electric (bound form)/to get (or give) an electric shock/phone call or telegram etc/to send via telephone or telegram etc
行,行,xíng,xing2,1,初等|一级,to walk/to go/to travel/a visit/temporary/makeshift/current/in circulation/to do/to perform/capable/competent/effective/all right/OK!/will do/behavior/conduct/Taiwan pr. [xing4] for the behavior-conduct sense
朋,朋,péng,peng2,1,初等|一级,friend
友,友,yǒu,you3,1,初等|一级,friend
拿,拿,ná,na2,1,初等|一级,to hold/to seize/to catch/to apprehend/to take/(used in the same way as 把[ba3]: to mark the following noun as a direct object)
路,路,lù,lu4,1,初等|一级,road/CL:條|条[tiao2]/journey/route/line (bus etc)/sort; kind
外,外,wài,wai4,1,初等|一级,outside/in addition/foreign/external
放,放,fàng,fang4,1,初等|一级,to put/to place/to release/to free/to let go/to let out/to set off (fireworks)
学,學,xué,xue2,1,初等|一级,to learn/to study/to imitate/science/-ology
校,校,xiào,xiao4,1,初等|一级,(bound form) school; college/(bound form) (military) field officer
别,別彆,bié,bie2,1,初等|一级,"to make sb change their ways, opinions etc"
站,站,zhàn,zhan4,1,初等|一级,station/to stand/to halt/to stop/branch of a company or organization/website
准,準准,zhǔn,zhun3,1,初等|一级,"accurate/standard/definitely/certainly/about to become (bride, son-in-law etc)/quasi-/para-"
备,備,bèi,bei4,1,初等|一级,(bound form) to prepare; to equip/(literary) fully; in every possible way
元,元,yuán,yuan2,1,初等|一级,currency unit (esp. Chinese yuan)/(bound form) first; original; primary/(bound form) basic; fundamental/(bound form) constituent; part/(prefix) meta-/(math.) argument; variable/era (of a reign)/(Tw) (geology) eon
进,進,jìn,jin4,1,初等|一级,to go forward/to advance/to go in/to enter/to put in/to submit/to take in/to admit/(math.) base of a number system/classifier for sections in a building or residential compound
写,寫,xiě,xie3,1,初等|一级,to write
先,先,xiān,xian1,1,初等|一级,beforehand; first; earlier/at first; originally/for the time being; for now/(prefix) my late (in referring to deceased relatives older than oneself)
您,您,nín,nin2,1,初等|一级,"you (courteous, as opposed to informal 你[ni3])"
女,女,nǚ,nv3,1,初等|一级,archaic variant of 汝[ru3]
生,生,shēng,sheng1,1,初等|一级,to be born/to give birth/life/to grow/raw/uncooked/student
门,門,mén,men2,1,初等|一级,"gate/door/CL:扇[shan4]/gateway/doorway/CL:個|个[ge4]/opening/valve/switch/way to do something/knack/family/house/(religious) sect/school (of thought)/class/category/phylum or division (taxonomy)/classifier for large guns/classifier for lessons, subjects, branches of technology/(suffix) -gate (i.e. scandal; derived from Watergate)"
八,八,bā,ba1,1,初等|一级,eight; 8
七,七,qī,qi1,1,初等|一级,seven/7
送,送,sòng,song4,1,初等|一级,to send; to deliver; to transmit/to give (as a present)/to see (sb) off/to accompany; to go along with
花,花,huā,hua1,1,初等|一级,variant of 花[hua1]/flower/blossom/also pr. [wei3]
第,第,dì,di4,1,初等|一级,"(prefix indicating ordinal number, as in 第六[di4 liu4] ""sixth"")/(literary) grades in which successful candidates in the imperial examinations were placed/(old) residence of a high official/(literary) but; however/(literary) only; just"
块,塊,kuài,kuai4,1,初等|一级,"lump; chunk; piece/classifier for pieces of cloth, cake, soap etc/(coll.) classifier for money and currency units"
坐,坐,zuò,zuo4,1,初等|一级,"to sit/to take a seat/to take (a bus, airplane etc)/to bear fruit/variant of 座[zuo4]"
影,影,yǐng,ying3,1,初等|一级,picture/image/film/movie/photograph/reflection/shadow/trace
昨,昨,zuó,zuo2,1,初等|一级,yesterday
笑,笑,xiào,xiao4,1,初等|一级,to laugh; to smile/to laugh at
介,介,jiè,jie4,1,初等|一级,to introduce/to lie between/between/shell/armor
绍,紹,shào,shao4,1,初等|一级,to continue/to carry on
书,書,shū,shu1,1,初等|一级,"book/letter/document/CL:本[ben3],冊|册[ce4],部[bu4]/to write"
少,少,shǎo,shao3,1,初等|一级,young
楼,樓,lóu,lou2,1,初等|一级,"house with more than 1 story/storied building/floor/CL:層|层[ceng2],座[zuo4],棟|栋[dong4]"
医,醫,yī,yi1,1,初等|一级,medical/medicine/doctor/to cure/to treat
院,院,yuàn,yuan4,1,初等|一级,courtyard/institution/CL:個|个[ge4]
早,早,zǎo,zao3,1,初等|一级,early/morning/Good morning!/long ago/prematurely
晚,晚,wǎn,wan3,1,初等|一级,evening/night/late
男,男,nán,nan2,1,初等|一级,"male/Baron, lowest of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]"
习,習,xí,xi2,1,初等|一级,(bound form) to practice/to study/habit/custom
口,口,kǒu,kou3,1,初等|一级,"mouth/classifier for things with mouths (people, domestic animals, cannons, wells etc)/classifier for bites or mouthfuls"
穿,穿,chuān,chuan1,1,初等|一级,to wear/to put on/to dress/to bore through/to pierce/to perforate/to penetrate/to pass through/to thread
午,午,wǔ,wu3,1,初等|一级,"7th earthly branch: 11 a.m.-1 p.m., noon, 5th solar month (6th June-6th July), year of the Horse/ancient Chinese compass point: 180° (south)"
认,認,rèn,ren4,1,初等|一级,to recognize/to know/to admit
识,識,shí,shi2,1,初等|一级,to record/to write a footnote
难,難,nán,nan2,1,初等|一级,disaster/distress/to scold
球,球,qiú,qiu2,1,初等|一级,ball/sphere/globe/CL:個|个[ge4]/ball game/match/CL:場|场[chang3]
九,九,jiǔ,jiu3,1,初等|一级,nine/9
妈,媽,mā,ma1,1,初等|一级,ma/mom/mother
汽,汽,qì,qi4,1,初等|一级,steam/vapor
跑,跑,pǎo,pao3,1,初等|一级,to run/to run away/to escape/to run around (on errands etc)/(of a gas or liquid) to leak or evaporate/(verb complement) away/off
动,動,dòng,dong4,1,初等|一级,"(of sth) to move/to set in movement/to displace/to touch/to make use of/to stir (emotions)/to alter/abbr. for 動詞|动词[dong4 ci2], verb"
儿,兒,ér,er2,1,初等|一级,non-syllabic diminutive suffix/retroflex final
远,遠,yuǎn,yuan3,1,初等|一级,to distance oneself from (classical)
帮,幫,bāng,bang1,1,初等|一级,"to help/to assist/to support/for sb (i.e. as a help)/hired (as worker)/side (of pail, boat etc)/outer layer/upper (of a shoe)/group/gang/clique/party/secret society"
视,視,shì,shi4,1,初等|一级,(bound form) to look at
师,師,shī,shi1,1,初等|一级,teacher/master/expert/model/army division/(old) troops/to dispatch troops
百,百,bǎi,bai3,1,初等|一级,hundred/numerous/all kinds of
半,半,bàn,ban4,1,初等|一级,half/semi-/incomplete/(after a number) and a half
干,乾干幹,gàn,gan4,1,初等|一级,tree trunk/main part of sth/to manage/to work/to do/capable/cadre/to kill (slang)/to fuck (vulgar)/(coll.) pissed off/annoyed
体,體,tǐ,ti3,1,初等|一级,body/form/style/system/substance/to experience/aspect (linguistics)
喝,喝,hē,he1,1,初等|一级,to shout
网,網,wǎng,wang3,1,初等|一级,net/network
字,字,zì,zi4,1,初等|一级,letter/symbol/character/word/CL:個|个[ge4]/courtesy or style name traditionally given to males aged 20 in dynastic China
杯,杯,bēi,bei1,1,初等|一级,"variant of 杯[bei1]/trophy cup/classifier for certain containers of liquids: glass, cup"
飞,飛,fēi,fei1,1,初等|一级,to fly
哪,哪,nǎ,na3,1,初等|一级,"which? (interrogative, followed by classifier or numeral-classifier)"
包,包,bāo,bao1,1,初等|一级,"to cover/to wrap/to hold/to include/to take charge of/to contract (to or for)/package/wrapper/container/bag/to hold or embrace/bundle/packet/CL:個|个[ge4],隻|只[zhi1]"
脑,腦,nǎo,nao3,1,初等|一级,brain/mind/head/essence
歌,歌,gē,ge1,1,初等|一级,variant of 歌[ge1]
山,山,shān,shan1,1,初等|一级,mountain; hill (CL:座[zuo4])/(coll.) small bundle of straw for silkworms to spin cocoons on
热,熱,rè,re4,1,初等|一级,to warm up/to heat up/hot (of weather)/heat/fervent
唱,唱,chàng,chang4,1,初等|一级,to sing/to call loudly/to chant
名,名,míng,ming2,1,初等|一级,name/noun (part of speech)/place (e.g. among winners)/famous/classifier for people
白,白,bái,bai2,1,初等|一级,white/snowy/pure/bright/empty/blank/plain/clear/to make clear/in vain/gratuitous/free of charge/reactionary/anti-communist/funeral/to stare coldly/to write wrong character/to state/to explain/vernacular/spoken lines in opera
病,病,bìng,bing4,1,初等|一级,illness/CL:場|场[chang2]/disease/to fall ill/defect
票,票,piào,piao4,1,初等|一级,"ticket/ballot/banknote/CL:張|张[zhang1]/person held for ransom/amateur performance of Chinese opera/classifier for groups, batches, business transactions"
睡,睡,shuì,shui4,1,初等|一级,to sleep/to lie down
房,房,fáng,fang2,1,初等|一级,house/room/CL:間|间[jian1]/branch of an extended family/classifier for family members (or concubines)
明,明,míng,ming2,1,初等|一级,bright/opposite: dark 暗[an4]/(of meaning) clear/to understand/next/public or open/wise/generic term for a sacrifice to the gods
差,差,chà,cha4,1,初等|一级,used in 參差|参差[cen1 ci1]
风,風,fēng,feng1,1,初等|一级,"wind/news/style/custom/manner/CL:陣|阵[zhen4],絲|丝[si1]"
马,馬,mǎ,ma3,1,初等|一级,horse/CL:匹[pi3]/horse or cavalry piece in Chinese chess/knight in Western chess
错,錯,cuò,cuo4,1,初等|一级,mistake/wrong/bad/interlocking/complex/to grind/to polish/to alternate/to stagger/to miss/to let slip/to evade/to inlay with gold or silver
读,讀,dú,du2,1,初等|一级,to read out; to read aloud/to read/to attend (school); to study (a subject in school)/to pronounce
答,答,dá,da2,1,初等|一级,to answer/to reply/to respond
兴,興,xīng,xing1,1,初等|一级,feeling or desire to do sth/interest in sth/excitement
试,試,shì,shi4,1,初等|一级,to test/to try/experiment/examination/test
爸,爸,bà,ba4,1,初等|一级,father/dad/pa/papa
教,教,jiào,jiao4,1,初等|一级,religion/teaching/to make/to cause/to tell
边,邊,biān,bian1,1,初等|一级,suffix of a noun of locality
谢,謝,xiè,xie4,1,初等|一级,"to thank/to apologize/(of flowers, leaves etc) to wither/to decline"
记,記,jì,ji4,1,初等|一级,"to record/to note/to memorize/to remember/mark/sign/classifier for blows, kicks, shots"
班,班,bān,ban1,1,初等|一级,team; class; grade/(military) squad/work shift/CL:個|个[ge4]/classifier for groups of people and scheduled transport vehicles
忙,忙,máng,mang2,1,初等|一级,busy/hurriedly/to hurry/to rush
考,攷考,kǎo,kao3,1,初等|一级,to check/to verify/to test/to examine/to take an exam/to take an entrance exam for/deceased father
南,南,nán,nan2,1,初等|一级,south
关,關,guān,guan1,1,初等|一级,"mountain pass/to close; to shut; to turn off/to confine; to lock (sb) up; to shut (sb in a room, a bird in a cage etc)/to concern; to involve"
同,仝同,tóng,tong2,1,初等|一级,see 衚衕|胡同[hu2 tong4]
衣,衣,yī,yi1,1,初等|一级,to dress/to wear/to put on (clothes)
服,服,fú,fu2,1,初等|一级,classifier for medicine: dose/Taiwan pr. [fu2]
北,北,běi,bei3,1,初等|一级,north/(classical) to be defeated
菜,菜,cài,cai4,1,初等|一级,"vegetable; greens (CL:棵[ke1])/dish (of food) (CL:樣|样[yang4],道[dao4],盤|盘[pan2])/(of one's skills etc) weak; poor/(coll.) (one's) type"
床,床,chuáng,chuang2,1,初等|一级,variant of 床[chuang2]
休,休,xiū,xiu1,1,初等|一级,to rest/to stop doing sth for a period of time/to cease/(imperative) don't
息,息,xī,xi1,1,初等|一级,breath/news/interest (on an investment or loan)/to cease/to stop/to rest/Taiwan pr. [xi2]
